MachineID,BatchID,OperatingTime,Downtime,ActualOutput,IdealOutput,GoodUnits,TotalUnits,OEE,TrueAnomaly
1,34,6.42,0.66,965,1042,910,965,79.19,0
4,27,7.88,0.89,883,989,864,883,78.5,0
4,41,6.2,0.54,827,919,791,827,79.18,0
4,3,6.89,0.63,915,946,878,915,85.04,0
2,3,6.67,1.49,838,848,785,838,75.67,0
1,22,7.04,0.57,916,957,845,916,81.68,0
3,19,7.59,0.37,936,1048,826,936,75.15,0
1,8,8.19,0.77,981,996,902,981,82.78,0
1,43,8.22,1.15,925,981,886,925,79.23,0
3,5,7.07,0.17,908,920,843,908,89.48,0
2,8,5.75,1.42,890,990,822,890,66.59,0
4,27,7.56,0.93,874,967,836,874,76.98,0
3,20,7.58,0.38,1070,1091,993,1070,86.67,0
4,46,7.39,0.97,821,951,797,821,74.08,0
2,48,5.06,1.62,783,860,740,783,65.18,0
3,17,7.63,0.21,982,1085,844,982,75.7,0
1,21,7.22,1.39,863,966,808,863,70.14,0
2,35,5.84,1.52,804,942,728,804,61.32,0
4,37,7.81,0.93,967,970,943,967,86.87,0
1,35,7.92,1.35,958,1076,914,958,72.57,0
3,30,7.0,0.1,950,1055,887,950,82.89,0
1,31,8.96,1.26,895,918,847,895,80.89,0
1,12,7.55,0.66,936,974,878,936,82.9,0
1,34,8.7,1.2,837,918,780,837,74.67,0
2,24,6.79,1.34,872,948,821,872,72.33,0
3,12,7.52,0.32,911,975,801,911,78.8,0
4,50,7.37,0.81,909,993,890,909,80.75,0
4,5,7.98,0.86,864,957,826,864,77.91,0
1,50,6.71,1.38,883,911,843,883,76.75,0
1,13,8.93,0.87,849,931,814,849,79.67,0
2,6,6.39,1.14,818,937,774,818,70.1,0
2,46,6.97,1.88,806,877,738,806,66.27,0
3,25,7.24,0.48,885,983,835,885,79.66,0
1,18,7.26,1.13,955,1046,887,955,73.38,0
2,32,5.34,1.62,877,928,804,877,66.47,0
3,20,7.27,0.39,994,1043,941,994,85.63,0
2,45,5.86,1.76,863,928,782,863,64.8,0
3,25,7.22,0.4,918,1047,788,918,71.31,0
3,6,7.78,0.47,829,957,763,829,75.19,0
2,27,6.21,1.5,901,961,847,901,70.99,0
4,33,7.37,0.87,865,957,832,865,77.76,0
3,2,7.04,0.23,1013,1060,900,1013,82.22,0
3,24,7.84,0.39,998,1022,946,998,88.18,0
1,32,8.91,0.58,911,1055,846,911,75.29,0
1,17,6.35,1.22,848,969,787,848,68.13,0
3,2,7.96,0.48,907,950,775,907,76.94,0
1,18,8.03,0.73,840,967,777,840,73.66,0
3,1,7.34,0.21,878,984,792,878,78.25,0
3,2,7.41,0.31,1050,1052,938,1050,85.58,0
2,48,6.83,1.14,795,900,747,795,71.13,0
3,37,7.97,0.03,892,986,816,892,82.45,0
1,27,7.71,0.64,977,1088,914,977,77.57,0
1,12,6.91,0.88,873,952,832,873,77.52,0
1,43,7.84,1.05,944,1020,871,944,75.31,0
2,6,5.96,1.07,778,825,736,778,75.63,0
4,2,7.2,0.73,873,903,847,873,85.16,0
1,47,7.99,1.22,910,972,859,910,76.67,0
3,6,7.2,0.12,950,1021,838,950,80.73,0
2,40,6.38,1.14,857,957,791,857,70.12,0
3,10,7.4,0.11,981,1046,920,981,86.67,0
2,8,6.15,1.47,862,895,793,862,71.51,0
1,35,6.84,0.63,982,1058,913,982,79.02,0
1,23,7.9,0.75,934,936,866,934,84.5,0
3,17,7.4,0.43,843,955,727,843,71.95,0
3,39,7.57,0.05,988,990,930,988,93.32,0
1,29,6.71,1.09,997,1002,917,997,78.73,0
1,16,7.21,1.23,1007,1049,949,1007,77.28,0
4,28,6.58,0.93,851,942,828,851,77.01,0
1,37,6.96,0.52,880,901,814,880,84.06,0
4,31,7.18,0.61,861,944,830,861,81.04,0
1,43,8.75,0.59,880,985,837,880,79.61,0
3,18,7.49,0.35,987,1027,881,987,81.95,0
2,28,5.54,1.78,871,973,805,871,62.62,0
1,6,6.34,0.64,992,1025,917,992,81.26,0
1,50,7.06,1.39,1072,1099,1002,1072,76.18,0
2,2,6.02,1.49,784,800,711,784,71.24,0
1,32,6.79,0.91,931,993,875,931,77.7,0
1,19,6.12,0.63,963,1024,911,963,80.66,0
2,5,5.5,1.23,927,962,869,927,73.82,0
3,49,7.92,0.32,973,1001,880,973,84.5,0
3,39,7.18,0.26,919,996,828,919,80.23,0
1,31,7.82,1.45,821,943,779,821,69.69,0
1,13,6.84,0.68,906,995,868,906,79.35,0
2,34,6.17,1.58,842,857,762,842,70.79,0
2,37,5.25,1.5,786,843,715,786,65.97,0
1,26,6.09,0.75,971,1047,912,971,77.55,0
2,32,6.05,1.26,876,977,789,876,66.84,0
3,10,7.41,0.0,1001,1009,906,1001,89.79,0
1,11,6.19,1.04,981,1037,924,981,76.29,0
2,19,5.78,1.86,723,809,661,723,61.81,0
4,50,7.0,0.59,891,984,856,891,80.23,0
1,17,6.45,0.95,926,1009,866,926,74.81,0
2,12,6.72,1.86,872,912,824,872,70.76,0
3,9,7.13,0.1,876,1018,808,876,78.27,0
1,3,6.08,1.47,905,970,850,905,70.57,0
4,33,7.88,0.78,797,932,772,797,75.37,0
1,22,8.87,1.09,970,1026,913,970,79.25,0
4,20,6.92,0.84,809,923,790,809,76.33,0
3,35,7.87,0.18,954,1015,896,954,86.3,0
2,44,5.52,1.97,822,874,780,822,65.77,0
4,21,7.28,0.99,912,962,887,912,81.17,0
4,40,7.9,0.82,794,925,756,794,74.04,0
2,49,6.65,1.59,959,979,880,959,72.54,0
4,41,6.4,0.99,830,931,793,830,73.77,0
2,28,6.8,1.55,692,807,640,692,64.58,0
1,45,7.75,1.25,928,1067,869,928,70.13,0
1,1,7.26,1.36,951,1057,902,951,71.87,0
4,36,6.98,0.55,928,992,886,928,82.79,0
1,34,8.31,0.61,976,984,920,976,87.1,0
4,40,6.3,0.63,858,996,838,858,76.49,0
3,4,7.59,0.01,1004,1080,907,1004,83.87,0
2,20,6.39,1.67,845,920,768,845,66.18,0
4,29,7.88,0.65,812,946,773,812,75.49,0
1,10,7.89,0.77,993,1089,938,993,78.48,0
2,29,5.99,1.4,888,889,803,888,73.21,0
2,49,5.51,1.8,768,846,718,768,63.97,0
1,47,7.31,1.11,854,969,817,854,73.2,0
2,47,6.95,1.98,915,980,837,915,66.47,0
2,20,5.59,1.32,944,953,876,944,74.36,0
2,36,5.55,1.9,860,906,811,860,66.69,0
2,16,5.38,1.56,942,963,850,942,68.43,0
2,40,5.55,1.11,745,859,684,745,66.36,0
1,25,8.77,1.37,907,1050,850,907,70.02,0
2,17,6.96,1.91,958,982,898,958,71.75,0
3,36,7.53,0.29,922,996,798,922,77.15,0
4,13,6.47,0.67,867,946,847,867,81.13,0
3,9,7.43,0.13,1011,1093,919,1011,82.63,0
3,49,7.69,0.26,939,972,836,939,83.2,0
2,38,5.4,1.02,825,862,783,825,76.4,0
1,11,8.44,1.1,981,994,924,981,82.24,0
3,28,7.04,0.31,989,1055,920,989,83.53,0
3,30,7.7,0.14,869,930,802,869,84.7,0
1,28,6.53,1.31,852,935,813,852,72.42,0
3,11,7.3,0.48,888,999,755,888,70.91,0
4,26,7.74,0.63,822,960,780,822,75.13,0
1,28,6.33,1.48,949,1028,889,949,70.09,0
3,5,7.72,0.48,945,1011,822,945,76.55,0
3,11,7.02,0.35,993,1056,852,993,76.85,0
1,5,7.01,1.17,1005,1062,928,1005,74.88,0
3,21,7.11,0.19,1051,1079,959,1051,86.57,0
2,11,5.2,1.85,776,900,732,776,59.99,0
2,28,6.87,1.04,761,846,689,761,70.73,0
1,9,7.65,0.81,861,993,825,861,75.13,0
1,26,6.99,1.01,947,1035,891,947,75.22,0
4,26,7.32,0.64,893,976,871,893,82.07,0
4,19,6.4,0.64,860,908,823,860,82.4,0
3,20,7.29,0.13,1080,1084,1000,1080,90.63,0
3,46,7.22,0.0,847,966,733,847,75.88,0
2,50,5.37,1.36,769,806,710,769,70.29,0
1,7,6.81,0.55,981,1095,904,981,76.39,0
4,44,7.09,0.79,890,938,853,890,81.82,0
1,30,6.74,0.93,935,947,878,935,81.47,0
4,30,7.21,0.94,943,950,918,943,85.49,0
3,45,7.59,0.15,888,934,758,888,79.58,0
4,30,6.86,0.6,879,987,838,879,78.08,0
3,14,7.45,0.28,984,1089,917,984,81.16,0
1,40,6.95,1.16,910,1035,871,910,72.12,0
4,4,6.12,0.78,868,931,832,868,79.26,0
3,45,7.45,0.06,833,954,790,833,82.15,0
4,39,6.48,0.6,938,970,905,938,85.39,0
4,47,6.87,0.8,843,906,806,843,79.68,0
4,7,6.72,0.8,885,984,854,885,77.56,0
3,34,7.01,0.28,885,1020,791,885,74.57,0
3,23,7.75,0.16,835,972,730,835,73.58,0
1,33,6.95,1.09,912,972,862,912,76.66,0
4,21,7.77,0.5,851,912,812,851,83.65,0
1,15,6.72,1.31,873,951,833,873,73.3,0
1,24,8.64,1.11,963,1061,907,963,75.75,0
3,1,7.68,0.01,1047,1049,990,1047,94.25,0
4,32,7.57,0.62,909,946,867,909,84.71,0
2,15,5.35,1.26,724,822,674,724,66.37,0
1,48,7.64,1.43,930,973,868,930,75.14,0
2,26,5.3,1.77,784,852,743,784,65.37,0
3,24,7.91,0.42,870,1000,755,870,71.69,0
3,22,7.44,0.38,903,1048,800,903,72.63,0
2,2,5.46,1.96,739,853,690,739,59.52,0
3,5,7.92,0.31,968,1038,857,968,79.45,0
4,2,6.57,0.53,893,977,866,893,82.02,0
1,42,6.89,1.37,858,924,816,858,73.66,0
1,37,7.98,1.07,836,944,769,836,71.83,0
2,23,5.53,1.24,809,927,737,809,64.94,0
4,38,6.79,0.88,832,918,805,832,77.63,0
2,30,5.59,1.99,829,877,753,829,63.32,0
2,9,5.03,1.24,813,839,738,813,70.57,0
4,19,7.85,0.69,899,915,858,899,86.19,0
1,48,8.84,0.71,905,951,844,905,82.15,0
1,7,7.48,0.51,894,949,857,894,84.54,0
1,3,6.27,0.96,931,1064,877,931,71.48,0
1,17,7.41,0.65,975,1069,898,975,77.23,0
2,31,5.52,1.76,731,802,681,731,64.38,0
2,17,5.75,1.39,926,936,876,926,75.37,0
1,12,7.64,0.95,898,945,856,898,80.56,0
2,35,5.48,1.86,860,947,800,860,63.07,0
3,37,7.73,0.19,875,922,791,875,83.73,0
4,29,7.66,0.93,923,960,895,923,83.14,0
2,26,6.17,1.54,814,900,761,814,67.67,0
1,5,7.38,1.04,973,1068,912,973,74.85,0
2,26,6.76,1.7,799,898,758,799,67.45,0
1,19,7.06,0.86,862,932,798,862,76.32,0
4,14,7.51,0.57,890,904,849,890,87.29,0
2,6,6.15,1.5,734,853,689,734,64.94,0
2,32,5.29,1.29,951,965,881,951,73.4,0
1,10,6.04,0.62,1028,1070,956,1028,81.03,0
4,25,6.28,0.56,835,902,811,835,82.55,0
4,4,6.81,0.79,806,942,774,806,73.62,0
3,31,7.21,0.32,943,993,850,943,81.96,0
4,1,7.98,0.83,811,902,775,811,77.83,0
3,27,7.52,0.18,1018,1040,894,1018,83.95,0
1,5,8.99,1.34,899,957,829,899,75.39,0
2,48,5.59,1.27,745,843,704,745,68.05,0
4,14,6.86,0.75,972,977,949,972,87.56,0
3,27,7.7,0.12,886,1009,763,886,74.46,0
2,4,6.6,1.31,943,986,877,943,74.21,0
2,18,5.78,1.81,865,909,801,865,67.1,0
1,47,7.39,1.28,994,1032,929,994,76.73,0
1,17,7.23,0.55,895,913,848,895,86.31,0
4,44,6.94,0.67,782,919,743,782,73.73,0
2,42,5.07,1.13,858,993,777,858,63.99,0
2,44,6.71,1.63,771,904,695,771,61.85,0
3,6,7.84,0.28,991,1051,864,991,79.37,0
4,31,6.16,0.64,873,973,839,873,78.11,0
4,16,7.41,1.0,838,981,804,838,72.21,0
1,35,7.43,0.61,941,1085,888,941,75.63,0
3,48,7.22,0.07,916,946,850,916,88.99,0
4,49,7.96,0.63,905,925,866,905,86.76,0
1,42,7.72,1.02,1000,1070,950,1000,78.42,0
2,43,5.51,1.93,801,880,756,801,63.62,0
4,21,6.49,0.83,850,979,808,850,73.17,0
4,18,7.23,0.62,782,911,764,782,77.24,0
3,10,7.16,0.16,1018,1025,965,1018,92.09,0
3,37,7.64,0.21,897,1028,774,897,73.28,0
2,23,5.42,1.14,826,924,763,826,68.23,0
3,25,7.18,0.0,868,944,771,868,81.67,0
4,34,7.43,0.96,903,925,869,903,83.2,0
4,10,7.13,0.8,819,910,788,819,77.86,0
3,16,7.7,0.07,845,993,743,845,74.15,0
2,49,5.18,1.77,792,894,738,792,61.53,0
3,39,7.14,0.43,916,949,782,916,77.72,0
2,14,6.11,1.86,870,954,814,870,65.41,0
2,27,5.22,1.08,781,861,736,781,70.83,0
1,34,8.18,1.49,779,908,717,779,66.8,0
4,37,7.92,0.51,927,939,887,927,88.75,0
1,25,7.37,1.17,1027,1055,974,1027,79.67,0
3,8,7.01,0.5,1024,1065,953,1024,83.53,0
2,24,5.59,1.85,901,907,820,901,67.93,0
1,20,8.69,0.72,1018,1043,957,1018,84.73,0
3,14,7.77,0.45,863,904,775,863,81.04,0
3,29,7.86,0.03,860,927,771,860,82.86,0
4,16,6.68,0.69,824,928,797,824,77.84,0
4,27,7.87,0.5,828,928,803,828,81.36,0
1,26,8.49,0.91,988,1034,947,988,82.72,0
3,7,7.75,0.03,886,1023,758,886,73.81,0
1,31,8.54,0.64,940,1049,870,940,77.15,0
1,46,7.38,1.19,956,1022,886,956,74.65,0
4,21,7.6,0.63,865,908,841,865,85.53,0
4,42,7.24,0.65,821,917,780,821,78.05,0
4,13,6.96,0.92,801,925,768,801,73.33,0
4,41,7.9,0.54,898,978,865,898,82.79,0
3,26,7.76,0.46,822,925,755,822,77.05,0
2,1,6.38,1.46,855,890,784,855,71.69,0
2,7,6.3,1.78,884,990,826,884,65.05,0
2,39,5.92,1.94,828,952,768,828,60.76,0
1,24,6.73,0.63,995,1008,945,995,85.73,0
1,8,8.54,0.72,1051,1063,986,1051,85.54,0
1,36,7.43,0.93,895,995,836,895,74.67,0
3,10,7.65,0.49,846,932,743,846,74.92,0
3,39,7.36,0.0,886,962,767,886,79.73,0
1,9,6.44,1.36,867,937,809,867,71.29,0
1,50,8.14,0.98,958,1081,882,958,72.82,0
2,14,6.09,1.97,826,876,765,826,65.98,0
4,35,6.91,0.64,868,953,825,868,79.23,0
3,48,7.98,0.08,1052,1083,976,1052,89.23,0
2,35,6.3,1.59,839,841,792,839,75.2,0
1,2,8.94,1.06,1027,1053,956,1027,81.16,0
1,6,7.56,1.05,875,953,809,875,74.54,0
1,40,8.84,0.5,877,965,812,877,79.64,0
4,49,6.46,0.88,892,936,849,892,79.83,0
3,15,7.67,0.09,976,979,888,976,89.65,0
4,6,6.09,0.67,987,994,944,987,85.56,0
3,25,7.75,0.47,868,943,780,868,77.99,0
3,48,7.38,0.16,869,984,774,869,76.99,0
4,39,6.82,0.55,853,913,819,853,83.01,0
2,30,5.29,1.35,846,988,794,846,64.03,0
2,43,6.08,1.79,809,931,749,809,62.15,0
3,8,7.06,0.12,914,1016,796,914,77.04,0
3,20,7.19,0.08,830,973,763,830,77.55,0
1,31,8.0,1.26,923,948,861,923,78.46,0
1,17,8.4,1.21,994,1051,929,994,77.26,0
1,27,7.52,0.68,1000,1048,935,1000,81.82,0
4,47,6.78,0.57,964,999,932,964,86.06,0
3,31,7.31,0.3,950,1075,822,950,73.45,0
4,39,7.36,0.6,926,967,887,926,84.81,0
3,16,7.15,0.28,960,1029,842,960,78.74,0
2,25,5.66,1.34,809,888,741,809,67.47,0
3,21,7.08,0.11,1038,1099,931,1038,83.42,0
3,2,7.17,0.02,905,957,819,905,85.34,0
2,2,6.2,1.02,727,831,685,727,70.79,0
3,11,7.87,0.29,964,1034,879,964,81.99,0
1,4,7.24,0.76,900,1046,855,900,73.97,0
1,4,7.08,1.02,1043,1081,961,1043,77.7,0
3,43,7.74,0.1,972,1038,869,972,82.65,0
2,42,5.55,1.09,968,985,912,968,77.39,0
3,18,7.74,0.06,1010,1094,936,1010,84.9,0
2,33,5.56,1.09,804,932,743,804,66.65,0
2,26,5.4,1.99,881,965,835,881,63.23,0
2,16,6.88,1.06,899,926,815,899,76.26,0
3,33,7.25,0.22,908,1007,833,908,80.28,0
1,7,7.16,0.87,903,1002,851,903,75.73,0
2,46,6.67,1.9,786,908,737,786,63.17,0
4,26,7.13,0.51,838,962,813,838,78.87,0
3,11,7.04,0.08,897,995,816,897,81.09,0
2,18,6.56,1.76,868,906,803,868,69.88,0
3,2,7.09,0.12,1016,1082,905,1016,82.25,0
2,47,5.14,1.47,718,842,647,718,59.75,0
2,32,6.13,1.88,871,892,818,871,70.18,0
4,24,7.1,0.67,917,977,889,917,83.15,0
4,33,6.62,0.92,851,971,824,851,74.51,0
1,37,6.81,0.58,864,900,823,864,84.27,0
2,37,5.23,1.64,884,907,810,884,67.99,0
2,1,5.56,1.86,879,949,829,879,65.46,0
4,10,6.97,0.52,940,953,899,940,87.78,0
4,23,6.66,0.92,893,969,852,893,77.25,0
2,28,5.74,1.32,751,850,699,751,66.86,0
3,26,7.3,0.44,875,944,817,875,81.63,0
2,29,6.96,1.99,719,814,659,719,62.96,0
2,20,7.0,1.26,827,850,773,827,77.07,0
3,26,7.91,0.03,973,1050,833,973,79.03,0
2,40,6.83,1.06,808,933,732,808,67.92,0
1,27,6.05,0.59,941,1040,901,941,78.94,0
2,34,6.12,1.21,779,826,721,779,72.88,0
4,47,6.58,0.81,829,947,812,829,76.35,0
4,19,6.49,0.64,881,961,858,881,81.27,0
3,15,7.47,0.37,863,914,748,863,77.98,0
2,43,5.72,1.56,880,884,815,880,72.44,0
1,3,7.76,1.04,931,1012,885,931,77.12,0
4,5,6.98,0.84,847,971,821,847,75.47,0
1,17,8.4,0.69,1054,1097,980,1054,82.55,0
1,32,6.59,0.96,915,968,872,915,78.63,0
4,11,6.86,0.69,913,988,874,913,80.38,0
4,50,6.81,0.61,897,983,866,897,80.86,0
1,8,7.11,1.1,881,935,840,881,77.8,0
1,20,6.63,0.55,901,930,838,901,83.21,0
2,5,6.54,1.78,789,879,711,789,63.58,0
4,24,6.1,1.0,909,928,884,909,81.84,0
1,18,8.55,1.03,1044,1078,969,1044,80.22,0
1,47,7.03,1.21,862,955,793,862,70.84,0
1,27,6.79,0.59,807,905,764,807,77.67,0
3,42,7.58,0.11,841,900,749,841,82.03,0
4,23,7.69,0.53,862,915,818,862,83.63,0
4,25,6.24,0.86,887,913,857,887,82.5,0
2,45,5.27,1.25,803,911,741,803,65.75,0
2,13,5.83,1.67,887,900,827,887,71.43,0
1,16,8.26,0.79,944,1095,884,944,73.68,0
1,14,7.93,1.34,998,1092,942,998,73.79,0
3,47,7.54,0.06,1055,1057,896,1055,84.1,0
1,29,8.41,1.18,1017,1068,947,1017,77.76,0
2,25,6.79,1.16,725,817,678,725,70.88,0
4,3,7.56,0.98,899,923,869,899,83.35,0
1,13,8.18,0.8,983,1072,930,983,79.03,0
2,40,5.41,1.04,840,922,760,840,69.14,0
2,12,6.26,1.51,767,830,720,767,69.89,0
1,41,8.97,0.78,904,961,836,904,80.03,0
1,25,6.83,1.05,1010,1062,960,1010,78.35,0
1,25,8.28,1.26,902,1001,843,902,73.09,0
4,24,7.39,0.8,972,975,940,972,86.99,0
3,49,7.86,0.38,915,1063,798,915,71.61,0
2,39,6.2,1.2,869,950,795,869,70.11,0
4,49,7.34,0.59,887,921,843,887,84.72,0
1,42,6.05,0.93,979,1071,917,979,74.21,0
3,23,7.28,0.37,918,951,864,918,86.46,0
1,4,6.04,1.25,931,1052,868,931,68.36,0
1,11,6.48,0.81,835,914,793,835,77.12,0
4,35,6.66,0.67,940,990,901,940,82.69,0
2,17,5.19,1.39,717,825,648,717,61.95,0
4,8,6.67,0.57,874,942,845,874,82.64,0
3,3,7.08,0.21,790,919,750,790,79.26,0
1,16,6.47,1.25,984,991,911,984,77.04,0
4,10,7.81,0.99,989,995,939,989,83.76,0
1,38,6.21,0.92,883,991,835,883,73.39,0
1,12,7.58,0.85,955,1023,883,955,77.61,0
4,29,6.32,0.71,932,962,906,932,84.67,0
2,46,6.37,1.31,808,885,742,808,69.54,0
1,23,8.28,1.02,1076,1099,1014,1076,82.15,0
1,11,7.16,0.64,912,944,872,912,84.79,0
2,36,5.21,1.53,854,974,779,854,61.82,0
4,47,7.62,0.91,895,952,873,895,81.92,0
3,36,7.39,0.27,1032,1080,931,1032,83.17,0
1,7,6.36,0.55,831,918,779,831,78.1,0
2,5,5.46,1.45,933,971,884,933,71.94,0
4,29,6.61,0.89,926,969,895,926,81.4,0
3,5,7.24,0.48,854,931,733,854,73.84,0
2,28,5.93,1.27,786,889,716,786,66.33,0
2,49,6.6,1.23,708,810,638,708,66.39,0
2,10,5.62,1.75,789,914,746,789,62.24,0
3,37,7.51,0.29,964,1025,902,964,84.73,0
2,36,6.39,1.66,831,943,779,831,65.57,0
1,22,8.14,1.49,1062,1079,998,1062,78.18,0
1,6,6.26,1.47,945,1017,894,945,71.19,0
2,23,6.14,1.77,820,933,768,820,63.9,0
1,42,7.38,0.93,879,996,830,879,74.01,0
4,48,6.92,0.78,858,924,817,858,79.46,0
2,26,5.29,1.1,890,893,820,890,76.02,0
3,4,7.05,0.42,1015,1052,868,1015,77.87,0
2,49,5.49,1.51,701,819,658,701,63.01,0
3,7,7.73,0.01,845,908,789,845,86.78,0
1,46,8.98,0.54,1074,1079,1029,1074,89.96,0
2,43,6.37,1.19,872,931,827,872,74.85,0
3,39,7.76,0.17,893,938,829,893,86.48,0
1,47,8.64,0.67,830,955,775,830,75.31,0
4,14,7.49,0.5,815,912,796,815,81.82,0
4,17,7.06,0.88,897,941,874,897,82.59,0
1,30,6.43,1.42,917,996,858,917,70.56,0
2,10,5.63,1.73,791,928,713,791,58.77,0
4,1,6.46,0.76,843,969,825,843,76.18,0
4,3,7.59,0.93,916,947,894,916,84.1,0
2,48,6.2,1.37,797,801,726,797,74.23,0
3,39,7.62,0.48,910,992,786,910,74.54,0
4,9,7.85,0.76,836,900,817,836,82.76,0
4,37,6.93,0.81,891,992,853,891,76.99,0
3,34,7.18,0.13,893,1009,773,893,75.25,0
1,23,6.18,1.38,942,1054,883,942,68.48,0
1,17,6.6,0.66,809,936,761,809,73.91,0
4,11,6.44,0.91,805,923,772,805,73.28,0
2,48,5.11,1.02,952,971,870,952,74.69,0
4,4,6.68,0.89,868,953,848,868,78.52,0
1,30,7.45,1.28,809,924,757,809,69.91,0
2,19,6.08,1.95,751,883,698,751,59.85,0
2,8,6.82,1.59,872,925,821,872,71.98,0
3,9,7.4,0.21,818,962,717,818,72.48,0
1,31,7.22,1.32,1041,1045,982,1041,79.45,0
4,38,6.37,0.52,831,924,791,831,79.15,0
2,42,5.48,1.98,882,894,809,882,66.47,0
1,30,7.69,0.95,929,1023,859,929,74.74,0
1,50,6.34,0.75,873,914,821,873,80.32,0
1,35,8.7,0.87,932,983,872,932,80.64,0
4,6,7.85,0.85,915,927,892,915,86.82,0
2,9,6.43,1.69,780,857,705,780,65.14,0
1,47,8.08,0.98,1024,1047,982,1024,83.65,0
2,46,6.13,1.1,810,927,749,810,68.51,0
2,6,6.04,1.31,788,824,726,788,72.4,0
1,24,8.83,0.64,1007,1092,951,1007,81.2,0
3,13,7.66,0.21,979,1062,861,979,78.91,0
2,29,6.92,1.98,815,902,770,815,66.37,0
2,23,6.38,1.75,739,812,675,739,65.23,0
4,2,6.07,0.65,811,945,791,811,75.61,0
4,27,7.03,0.78,859,920,837,859,81.89,0
1,34,6.06,1.32,927,1006,872,927,71.18,0
4,1,6.23,0.59,948,956,917,948,87.62,0
4,25,6.05,0.87,864,985,837,864,74.29,0
3,32,7.9,0.01,917,980,828,917,84.38,0
2,17,6.84,1.76,781,829,718,781,68.89,0
2,30,6.13,1.76,922,980,853,922,67.62,0
4,15,7.64,0.99,840,932,805,840,76.46,0
2,50,5.23,1.68,874,915,818,874,67.66,0
1,41,8.11,0.69,999,1060,957,999,83.2,0
3,7,7.34,0.06,1034,1042,881,1034,83.86,0
2,24,6.51,1.23,741,844,673,741,67.07,0
3,6,7.76,0.14,939,982,851,939,85.12,0
2,39,5.01,1.29,712,836,660,712,62.78,0
1,1,8.94,1.01,882,927,836,882,81.03,0
2,25,6.33,1.39,889,917,818,889,73.14,0
1,18,7.57,1.38,881,976,814,881,70.54,0
4,3,7.28,0.9,918,961,883,918,81.77,0
2,39,6.13,1.07,718,832,648,718,66.31,0
3,19,7.31,0.01,876,970,804,876,82.77,0
2,3,5.57,1.91,853,865,782,853,67.32,0
2,29,5.74,1.82,918,939,826,918,66.79,0
2,10,5.87,1.67,906,923,851,906,71.78,0
1,15,7.91,1.28,1076,1085,996,1076,79.01,0
